"Category","Minifilter","Altitude","Company"
"Filter","ntoskrnl.exe","425500","Microsoft"
"Filter","ntoskrnl.exe","425000","Microsoft"
"FSFilter Top","wcnfs.sys","409900","Microsoft"
"FSFilter Top","bindflt.sys","409800","Microsoft"
"FSFilter Top","cldflt.sys","409500","Microsoft"
"FSFilter Top","iorate.sys","409010","Microsoft"
"FSFilter Top","ioqos.sys","409000","Microsoft"
"FSFilter Top","fsdepends.sys","407000","Microsoft"
"FSFilter Top","sftredir.sys","406000","Microsoft"
"FSFilter Top","dfs.sys","405000","Microsoft"
"FSFilter Top","WorkplaceContainerDriver.sys","404960.5","Venn Technology Corporation"
"FSFilter Top","IntelEgDriver.sys","404950.5","Intel Corp"
"FSFilter Top","VeeamFCT.sys","404920","Veeam Software"
"FSFilter Top","sek.sys","404915.5","Sentry Corporation"
"FSFilter Top","tracker.sys","404910","Acronis"
"FSFilter Top","csvnsflt.sys","404900","Microsoft"
"FSFilter Top","csvflt.sys","404800","Microsoft"
"FSFilter Top","Microsoft.Uev.AgentDriver.sys","404710","Microsoft"
"FSFilter Top","AppvVfs.sys","404700","Microsoft"
"FSFilter Top","CCFFilter.sys","404600","Microsoft"
"FSFilter Top","cr.sys","403900.5","Xryus Technologies Ltd."
"FSFilter Top","BGMinFlt.sys","403100.5","Virtual Bodyguard BV"
"FSFilter Top","FwDI.sys","402130.5","First Watch Limited"
"FSFilter Top","360AntiSteal.sys","402120.5","360 Software (Beijing)"
"FSFilter Top","uberAgentDrv.sys","402110","vast limits GmbH"
"FSFilter Top","mrigflt.sys","402100","Paramount Software Ltd"
"FSFilter Top","darkscope-drv.sys","402030.5","Zhuhai YiZhiSec co"
"FSFilter Top","XCOAmon.sys","402025.5","TRIART INC"
"FSFilter Top","RevoNetDriver.sys","402020","J's Communication Co."
"FSFilter Top","dciogrd.sys","402010","Datacloak Tech"
"FSFilter Top","Dewdrv.sys","402000","Dell Technologies"
"FSFilter Top","zsusbstorfilt.sys","401910","Zshield Inc"
"FSFilter Top","eaw.sys","401900","Raytheon Cyber Solutions"
"FSFilter Top","TVFsfilter.sys","401800","TrustView"
"FSFilter Top","KKDiskProtecter.sys","401700","Goldmsg"
"FSFilter Top","AgentComm.sys","401600","Trustwave Holding Inc"
"FSFilter Top","rvsavd.sys","401500","CJSC Returnil Software"
"FSFilter Top","DGMinFlt.sys","401410","Digital Guardian Inc."
"FSFilter Top","dgdmk.sys","401400","Verdasys Inc."
"FSFilter Top","stadrv6x64.sys","401350.5","Netskope Inc."
"FSFilter Top","stadrv6x32.sys","401350.5","Netskope Inc."
"FSFilter Top","tusbstorfilt.sys","401300","SimplyCore LLC"
"FSFilter Top","pcgenfam.sys","401200","Soluto"
"FSFilter Top","atrsdfw.sys","401100","Altiris"
"FSFilter Top","tpfilter.sys","401000","RedPhone Security"
"FSFilter Top","MBIG2Prot.sys","400920","Malwarebytes Inc"
"FSFilter Top","mbamwatchdog.sys","400900","Malwarebytes Corporation"
"FSFilter Top","DSESafeCtrlDrv.sys","400803","Shanghai Eff-Soft IT"
"FSFilter Top","edevmonm.sys","400800.3","ESET spol. s r.o."
"FSFilter Top","edevmon.sys","400800","ESET spol. s r.o."
"FSFilter Top","hznregreflection.sys","400700.7","Omnissa"
"FSFilter Top","hznprotect.sys(Renamed)","400700.5","Omnissa"
"FSFilter Top","vmwprotect.sys","400700.5","VMware"
"FSFilter Top","hzncdrfilter.sys(Renamed)","400700.3","Omnissa"
"FSFilter Top","vmwcdrfilter.sys","400700.3","VMware"
"FSFilter Top","hznflstor.sys(Renamed)","400700","Omnissa"
"FSFilter Top","vmwflstor.sys","400700","VMware"
"FSFilter Top","TsQBDrv.sys","400600","Tencent Technology"
"FSFilter Top","PolyPortFlt.sys","400490","PolyPort Inc"
"FSFilter Top","PredaEGSensor.sys","400395.5","Hunter Team Labs, Inc."
"FSFilter Top","Dscdriver.sys","400300","Dell Technologies Inc."
"FSFilter Security Monitor","DPEACDrv.sys","393000.5","Delinea Inc."
"FSFilter Activity Monitor","cbfilter24.sys","389560.5","Cavelo Inc."
"FSFilter Activity Monitor","csfsflt.sys","389550.5","Darktrace Holdings Ltd."
"FSFilter Activity Monitor","tactical.sys","389540.5","Tactical Defense"
"FSFilter Activity Monitor","EDRMiniFilter.sys","389526.5","Venustech"
"FSFilter Activity Monitor","zd_mon.sys","389520.5","Zecurion"
"FSFilter Activity Monitor","DeltaMonitor.sys","389518.75","Delta Electronics Inc"
"FSFilter Activity Monitor","icrlmonitor.sys","389518.5","Delta Electronics Inc"
"FSFilter Activity Monitor","klboot.sys","389510","Kaspersky Lab"
"FSFilter Activity Monitor","klfdefsf.sys","389500","Kaspersky Lab"
"FSFilter Activity Monitor","JKMCPF.sys","389492.7","JiranData Co. Ltd"
"FSFilter Activity Monitor","JDEDRPF.sys","389492.5","JiranData Co. Ltd"
"FSFilter Activity Monitor","JDPPWF.sys","389492","JiranData Co. Ltd"
"FSFilter Activity Monitor","JDPPSF.sys","389490","JiranData Co. Ltd"
"FSFilter Activity Monitor","FFDriver.sys","389470","ColorTokens"
"FSFilter Activity Monitor","evaccin.sys","389455.5","databps.com"
"FSFilter Activity Monitor","SeRdr.sys","389450","rhipe Australia Pty"
"FSFilter Activity Monitor","edrmpdrv.sys","389440.5","ZandCrafters LLC"
"FSFilter Activity Monitor","edrmpsec.sys","389440.4","ZandCrafters LLC"
"FSFilter Activity Monitor","edrmprv.sys","389440.3","ZandCrafters LLC"
"FSFilter Activity Monitor","bw_fssec.sys","389430.5","Wuhan Buwei Software Technology Co.,Ltd"
"FSFilter Activity Monitor","SecurityPro.sys","389430.3","Wuhan Buwei Software Technology Co.,Ltd"
"FSFilter Activity Monitor","defragger.sys","389420","Microsoft"
"FSFilter Activity Monitor","qstfltmon.sys","389410.5","Qohash Inc"
"FSFilter Activity Monitor","storagedrv.sys","389400","SMTechnology Co."
