"IPRange","ServiceArea","ServiceAreaDisplayName"
"13.107.6.152/31","Exchange","Exchange Online"
"13.107.18.10/31","Exchange","Exchange Online"
"13.107.128.0/22","Exchange","Exchange Online"
"23.103.160.0/20","Exchange","Exchange Online"
"40.96.0.0/13","Exchange","Exchange Online"
"40.104.0.0/15","Exchange","Exchange Online"
"52.96.0.0/14","Exchange","Exchange Online"
"131.253.33.215/32","Exchange","Exchange Online"
"132.245.0.0/16","Exchange","Exchange Online"
"150.171.32.0/22","Exchange","Exchange Online"
"204.79.197.215/32","Exchange","Exchange Online"
"2603:1006::/40","Exchange","Exchange Online"
"2603:1016::/36","Exchange","Exchange Online"
"2603:1026::/36","Exchange","Exchange Online"
"2603:1036::/36","Exchange","Exchange Online"
"2603:1046::/36","Exchange","Exchange Online"
"2603:1056::/36","Exchange","Exchange Online"
"2620:1ec:4::152/128","Exchange","Exchange Online"
"2620:1ec:4::153/128","Exchange","Exchange Online"
"2620:1ec:c::10/128","Exchange","Exchange Online"
"2620:1ec:c::11/128","Exchange","Exchange Online"
"2620:1ec:d::10/128","Exchange","Exchange Online"
"2620:1ec:d::11/128","Exchange","Exchange Online"
"2620:1ec:8f0::/46","Exchange","Exchange Online"
"2620:1ec:900::/46","Exchange","Exchange Online"
"2620:1ec:a92::152/128","Exchange","Exchange Online"
"2620:1ec:a92::153/128","Exchange","Exchange Online"
"13.107.6.152/31","Exchange","Exchange Online"
"13.107.18.10/31","Exchange","Exchange Online"
"13.107.128.0/22","Exchange","Exchange Online"
"23.103.160.0/20","Exchange","Exchange Online"
"40.96.0.0/13","Exchange","Exchange Online"
"40.104.0.0/15","Exchange","Exchange Online"
"52.96.0.0/14","Exchange","Exchange Online"
"131.253.33.215/32","Exchange","Exchange Online"
"132.245.0.0/16","Exchange","Exchange Online"
"150.171.32.0/22","Exchange","Exchange Online"
"204.79.197.215/32","Exchange","Exchange Online"
"2603:1006::/40","Exchange","Exchange Online"
"2603:1016::/36","Exchange","Exchange Online"
"2603:1026::/36","Exchange","Exchange Online"
"2603:1036::/36","Exchange","Exchange Online"
"2603:1046::/36","Exchange","Exchange Online"
"2603:1056::/36","Exchange","Exchange Online"
"2620:1ec:4::152/128","Exchange","Exchange Online"
"2620:1ec:4::153/128","Exchange","Exchange Online"
"2620:1ec:c::10/128","Exchange","Exchange Online"
"2620:1ec:c::11/128","Exchange","Exchange Online"
"2620:1ec:d::10/128","Exchange","Exchange Online"
"2620:1ec:d::11/128","Exchange","Exchange Online"
"2620:1ec:8f0::/46","Exchange","Exchange Online"
"2620:1ec:900::/46","Exchange","Exchange Online"
"2620:1ec:a92::152/128","Exchange","Exchange Online"
"2620:1ec:a92::153/128","Exchange","Exchange Online"
"40.92.0.0/15","Exchange","Exchange Online"
"40.107.0.0/16","Exchange","Exchange Online"
"52.100.0.0/14","Exchange","Exchange Online"
"52.238.78.88/32","Exchange","Exchange Online"
"104.47.0.0/17","Exchange","Exchange Online"
"2a01:111:f400::/48","Exchange","Exchange Online"
"2a01:111:f403::/48","Exchange","Exchange Online"
"40.92.0.0/15","Exchange","Exchange Online"
"40.107.0.0/16","Exchange","Exchange Online"
"52.100.0.0/14","Exchange","Exchange Online"
"104.47.0.0/17","Exchange","Exchange Online"
"2a01:111:f400::/48","Exchange","Exchange Online"
"2a01:111:f403::/48","Exchange","Exchange Online"
"52.112.0.0/14","Skype","Microsoft Teams"
"52.122.0.0/15","Skype","Microsoft Teams"
"2603:1063::/38","Skype","Microsoft Teams"
"52.112.0.0/14","Skype","Microsoft Teams"
"52.122.0.0/15","Skype","Microsoft Teams"
"2603:1027::/48","Skype","Microsoft Teams"
"2603:1037::/48","Skype","Microsoft Teams"
"2603:1047::/48","Skype","Microsoft Teams"
"2603:1057::/48","Skype","Microsoft Teams"
"2603:1063::/38","Skype","Microsoft Teams"
"2620:1ec:6::/48","Skype","Microsoft Teams"
"2620:1ec:40::/42","Skype","Microsoft Teams"
"13.107.136.0/22","SharePoint","SharePoint Online and OneDrive for Business"
"40.108.128.0/17","SharePoint","SharePoint Online and OneDrive for Business"
"52.104.0.0/14","SharePoint","SharePoint Online and OneDrive for Business"
"104.146.128.0/17","SharePoint","SharePoint Online and OneDrive for Business"
"150.171.40.0/22","SharePoint","SharePoint Online and OneDrive for Business"
